,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_p[Elite|TestChangeProb],-0.02,0.016,-0.044,0.003,0.0,0.0,8423.0,12796.0,1.0
b_p[ChromLen|TestDeleteProb],-0.011,0.013,-0.031,0.009,0.0,0.0,17120.0,14708.0,1.0
b_p[StatemInsertProb|TestDeleteProb],-0.011,0.013,-0.033,0.008,0.0,0.0,15894.0,14592.0,1.0
b_p[Elite|TourSize],-0.01,0.013,-0.031,0.008,0.0,0.0,17529.0,15276.0,1.0
b_p[ChromLen|Crossover],-0.009,0.012,-0.029,0.01,0.0,0.0,19821.0,14157.0,1.0
b_p[ChangeParamProb|ChromLen],-0.007,0.012,-0.028,0.011,0.0,0.0,22915.0,13943.0,1.0
b_p[Elite|TestInsertProb],-0.007,0.012,-0.026,0.012,0.0,0.0,25782.0,15259.0,1.0
b_p[TestChangeProb|TestDeleteProb],-0.007,0.012,-0.027,0.012,0.0,0.0,23947.0,14159.0,1.0
b_p[Elite|Pop],-0.006,0.012,-0.026,0.012,0.0,0.0,30792.0,15274.0,1.0
b_p[ChangeParamProb|TestDeleteProb],-0.006,0.012,-0.025,0.013,0.0,0.0,27787.0,15094.0,1.0
b_p[TestChangeProb|TourSize],-0.005,0.012,-0.024,0.014,0.0,0.0,28286.0,15213.0,1.0
b_p[Pop|TestChangeProb],-0.004,0.012,-0.023,0.014,0.0,0.0,31323.0,15675.0,1.0
b_p[ChromLen|Pop],-0.004,0.012,-0.023,0.015,0.0,0.0,32878.0,15056.0,1.0
b_p[Crossover|RandPert],-0.004,0.011,-0.023,0.014,0.0,0.0,34395.0,14406.0,1.0
b_p[Crossover|Pop],-0.004,0.012,-0.023,0.014,0.0,0.0,32754.0,14813.0,1.0
b_p[ChangeParamProb|TestChangeProb],-0.004,0.012,-0.024,0.014,0.0,0.0,30025.0,15191.0,1.0
b_p[Elite|TestDeleteProb],-0.004,0.012,-0.023,0.015,0.0,0.0,36244.0,14751.0,1.0
b_p[ChromLen|Elite],-0.004,0.012,-0.023,0.014,0.0,0.0,34938.0,14785.0,1.0
b_p[ChromLen|TourSize],-0.004,0.012,-0.024,0.014,0.0,0.0,30148.0,14282.0,1.0
b_p[Elite|RandPert],-0.003,0.011,-0.021,0.016,0.0,0.0,42998.0,14373.0,1.0
b_p[RandPert|StatemInsertProb],-0.003,0.012,-0.022,0.015,0.0,0.0,38319.0,14470.0,1.0
b_p[StatemInsertProb|TourSize],-0.003,0.012,-0.022,0.015,0.0,0.0,41270.0,14153.0,1.0
b_p[ChangeParamProb|Pop],-0.003,0.012,-0.022,0.015,0.0,0.0,38780.0,14742.0,1.0
b_p[StatemInsertProb|TestInsertProb],-0.002,0.012,-0.02,0.017,0.0,0.0,43412.0,14924.0,1.0
b_p[TestDeleteProb|TourSize],-0.002,0.012,-0.021,0.017,0.0,0.0,41159.0,14591.0,1.0
b_p[ChangeParamProb|RandPert],-0.001,0.012,-0.02,0.017,0.0,0.0,42289.0,14564.0,1.0
b_p[Crossover|TestChangeProb],-0.001,0.012,-0.02,0.017,0.0,0.0,39811.0,14551.0,1.0
b_p[TestDeleteProb|TestInsertProb],-0.001,0.011,-0.02,0.017,0.0,0.0,38277.0,15017.0,1.0
b_p[TestInsertProb|TourSize],-0.001,0.011,-0.02,0.017,0.0,0.0,43317.0,13716.0,1.0
b_p[Pop|TestDeleteProb],-0.001,0.011,-0.019,0.018,0.0,0.0,39112.0,14391.0,1.0
b_p[ChromLen|StatemInsertProb],-0.001,0.012,-0.021,0.016,0.0,0.0,43576.0,14745.0,1.0
b_p[Pop|TourSize],0.0,0.012,-0.019,0.018,0.0,0.0,39118.0,15020.0,1.0
b_p[TestInsertionProb|TourSize],-0.0,0.012,-0.019,0.018,0.0,0.0,39233.0,14752.0,1.0
b_p[Crossover|StatemInsertProb],-0.0,0.012,-0.019,0.018,0.0,0.0,43354.0,14180.0,1.0
b_p[ChangeParamProb|Crossover],-0.0,0.012,-0.019,0.018,0.0,0.0,48470.0,15319.0,1.0
b_p[ChromLen|TestInsertProb],0.0,0.012,-0.019,0.018,0.0,0.0,45477.0,15296.0,1.0
b_p[Elite|StatemInsertProb],0.001,0.011,-0.017,0.019,0.0,0.0,40787.0,14536.0,1.0
b_p[ChangeParamProb|TourSize],0.001,0.012,-0.018,0.019,0.0,0.0,34779.0,15474.0,1.0
b_p[Crossover|TourSize],0.001,0.012,-0.017,0.02,0.0,0.0,39790.0,15821.0,1.0
b_p[Crossover|TestInsertProb],0.002,0.012,-0.016,0.021,0.0,0.0,38229.0,15413.0,1.0
b_p[Crossover|TestDeleteProb],0.002,0.012,-0.017,0.021,0.0,0.0,41730.0,14146.0,1.0
b_p[TestChangeProb|TestInsertionProb],0.002,0.012,-0.016,0.021,0.0,0.0,38763.0,14188.0,1.0
b_p[Pop|RandPert],0.002,0.012,-0.017,0.02,0.0,0.0,42913.0,14921.0,1.0
b_p[Pop|StatemInsertProb],0.002,0.012,-0.016,0.022,0.0,0.0,36483.0,15170.0,1.0
b_p[ChromLen|RandPert],0.002,0.012,-0.017,0.02,0.0,0.0,44011.0,14401.0,1.0
b_p[ChangeParamProb|StatemInsertProb],0.002,0.012,-0.017,0.02,0.0,0.0,37641.0,14626.0,1.0
b_p[RandPert|TourSize],0.002,0.012,-0.016,0.022,0.0,0.0,42103.0,15441.0,1.0
b_p[ChromLen|TestChangeProb],0.003,0.011,-0.016,0.021,0.0,0.0,40510.0,15370.0,1.0
b_p[ChangeParamProb|TestInsertProb],0.003,0.012,-0.015,0.022,0.0,0.0,38459.0,15259.0,1.0
b_p[Pop|TestInsertionProb],0.003,0.012,-0.014,0.023,0.0,0.0,40343.0,14771.0,1.0
b_p[Pop|TestInsertProb],0.003,0.012,-0.015,0.021,0.0,0.0,35868.0,14773.0,1.0
b_p[RandPert|TestDeleteProb],0.003,0.012,-0.015,0.021,0.0,0.0,38911.0,14586.0,1.0
b_p[ChangeParamProb|Elite],0.004,0.012,-0.015,0.023,0.0,0.0,37304.0,14694.0,1.0
b_p[TestInsertProb|TestInsertionProb],0.004,0.012,-0.014,0.023,0.0,0.0,33023.0,15018.0,1.0
b_p[ChangeParamProb|TestInsertionProb],0.004,0.012,-0.014,0.023,0.0,0.0,31029.0,14634.0,1.0
b_p[TestDeleteProb|TestInsertionProb],0.005,0.012,-0.013,0.024,0.0,0.0,29677.0,14948.0,1.0
b_p[Elite|TestInsertionProb],0.005,0.012,-0.014,0.024,0.0,0.0,30817.0,15982.0,1.0
b_p[TestChangeProb|TestInsertProb],0.005,0.012,-0.013,0.024,0.0,0.0,29781.0,15208.0,1.0
b_p[Crossover|TestInsertionProb],0.006,0.012,-0.012,0.026,0.0,0.0,26083.0,13444.0,1.0
b_p[RandPert|TestInsertProb],0.006,0.012,-0.013,0.026,0.0,0.0,26972.0,14628.0,1.0
b_p[RandPert|TestChangeProb],0.007,0.012,-0.012,0.027,0.0,0.0,23159.0,14737.0,1.0
b_p[Crossover|Elite],0.009,0.013,-0.01,0.029,0.0,0.0,19590.0,14734.0,1.0
b_p[StatemInsertProb|TestChangeProb],0.011,0.013,-0.008,0.033,0.0,0.0,16713.0,14633.0,1.0
b_p[StatemInsertProb|TestInsertionProb],0.014,0.014,-0.006,0.036,0.0,0.0,12845.0,14857.0,1.0
b_p[RandPert|TestInsertionProb],0.018,0.015,-0.004,0.041,0.0,0.0,9381.0,15412.0,1.0
b_p[ChromLen|TestInsertionProb],0.02,0.016,-0.003,0.045,0.0,0.0,8749.0,13760.0,1.0
