,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
g_mp[py_base x ChangeParamProb],0.006,0.036,-0.053,0.063,0.0,0.0,30652.0,14689.0,1.0
g_mp[yield_from x ChromLen],0.006,0.035,-0.048,0.063,0.0,0.0,32302.0,14268.0,1.0
g_mp[timer x TourSize],0.007,0.039,-0.056,0.068,0.0,0.0,38924.0,14826.0,1.0
g_mp[config x StatemInsertProb],0.007,0.037,-0.052,0.066,0.0,0.0,32979.0,14327.0,1.0
g_mp[dict_unpacking x TestChangeProb],0.008,0.038,-0.052,0.071,0.0,0.0,35295.0,13908.0,1.0
g_mp[config x TestInsertionProb],0.008,0.037,-0.051,0.067,0.0,0.0,28675.0,14706.0,1.0
g_mp[lazy_import x Elite],0.008,0.035,-0.049,0.062,0.0,0.0,33960.0,13902.0,1.0
g_mp[journaling x TestDeleteProb],0.009,0.036,-0.052,0.064,0.0,0.0,37498.0,14579.0,1.0
g_mp[packages x StatemInsertProb],0.01,0.041,-0.053,0.076,0.0,0.0,36772.0,15030.0,1.0
g_mp[py_base x TourSize],0.01,0.036,-0.047,0.067,0.0,0.0,33549.0,14458.0,1.0
g_mp[py_base x TestChangeProb],0.01,0.036,-0.046,0.068,0.0,0.0,35752.0,13992.0,1.0
g_mp[journaling x TestInsertionProb],0.011,0.036,-0.048,0.067,0.0,0.0,33698.0,14512.0,1.0
g_mp[py_base x TestInsertionProb],0.011,0.036,-0.048,0.067,0.0,0.0,33504.0,14897.0,1.0
g_mp[helpers x TestInsertionProb],0.012,0.037,-0.048,0.069,0.0,0.0,32641.0,14690.0,1.0
g_mp[journaling x Elite],0.012,0.035,-0.043,0.07,0.0,0.0,33758.0,14377.0,1.0
g_mp[config x TestDeleteProb],0.012,0.037,-0.047,0.07,0.0,0.0,27252.0,14424.0,1.0
g_mp[config x TestChangeProb],0.012,0.037,-0.045,0.072,0.0,0.0,30162.0,13701.0,1.0
g_mp[journaling x TestChangeProb],0.013,0.035,-0.043,0.07,0.0,0.0,28046.0,14783.0,1.0
g_mp[journaling x StatemInsertProb],0.014,0.036,-0.043,0.071,0.0,0.0,33569.0,14829.0,1.0
g_mp[positional_validation x ChangeParamProb],0.015,0.036,-0.045,0.07,0.0,0.0,31829.0,14377.0,1.0
g_mp[positional_validation x RandPert],0.015,0.036,-0.043,0.073,0.0,0.0,31222.0,13542.0,1.0
g_mp[py_base x Elite],0.015,0.036,-0.04,0.074,0.0,0.0,32635.0,14561.0,1.0
g_mp[packages x TourSize],0.015,0.041,-0.048,0.082,0.0,0.0,39282.0,13401.0,1.0
g_mp[helpers x TestInsertProb],0.016,0.037,-0.041,0.076,0.0,0.0,34013.0,13989.0,1.0
g_mp[config x ChromLen],0.017,0.037,-0.042,0.076,0.0,0.0,34624.0,14833.0,1.0
g_mp[h_base x Crossover],0.018,0.037,-0.045,0.072,0.0,0.0,35651.0,14473.0,1.0
g_mp[return_from_generator x Elite],0.018,0.037,-0.042,0.077,0.0,0.0,34262.0,15194.0,1.0
g_mp[h_base x TourSize],0.022,0.037,-0.04,0.077,0.0,0.0,29577.0,14609.0,1.0
g_mp[packages x TestDeleteProb],0.022,0.041,-0.042,0.087,0.0,0.0,30754.0,14994.0,1.0
g_mp[dict_unpacking x TestInsertionProb],0.024,0.039,-0.039,0.087,0.0,0.0,33056.0,14658.0,1.0
g_mp[py_base x Crossover],0.026,0.037,-0.034,0.083,0.0,0.0,35454.0,14184.0,1.0
g_mp[yield_from x TestInsertionProb],0.028,0.035,-0.028,0.084,0.0,0.0,31575.0,15278.0,1.0
g_mp[helpers x TestChangeProb],0.029,0.036,-0.028,0.086,0.0,0.0,29910.0,13399.0,1.0
g_mp[h_base x TestInsertionProb],0.031,0.036,-0.027,0.088,0.0,0.0,28672.0,15172.0,1.0
g_mp[positional_validation x Pop],0.046,0.037,-0.012,0.105,0.0,0.0,28526.0,14864.0,1.0
g_mp[return_from_generator x TourSize],0.046,0.037,-0.015,0.102,0.0,0.0,24807.0,13936.0,1.0
g_mp[yield_from x Elite],0.047,0.036,-0.012,0.104,0.0,0.0,28666.0,14626.0,1.0
g_mp[return_from_generator x TestInsertionProb],0.07,0.04,0.006,0.133,0.0,0.0,22712.0,14222.0,1.0
g_mp[return_from_generator x TestInsertProb],0.087,0.041,0.021,0.15,0.0,0.0,18670.0,14151.0,1.0
g_mp[return_from_generator x RandPert],0.116,0.045,0.041,0.183,0.0,0.0,16655.0,14039.0,1.0
g_mp[return_from_generator x ChangeParamProb],0.133,0.046,0.058,0.204,0.0,0.0,14448.0,13541.0,1.0
