,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
g_mp[helpers x TestInsertionProb],-0.004,0.035,-0.058,0.053,0.0,0.0,31755.0,15146.0,1.0
g_mp[journaling x ChangeParamProb],-0.004,0.036,-0.059,0.055,0.0,0.0,34814.0,15015.0,1.0
g_mp[headers x TestInsertionProb],-0.004,0.035,-0.059,0.054,0.0,0.0,36098.0,14869.0,1.0
g_mp[py_base x TestInsertProb],-0.003,0.036,-0.061,0.055,0.0,0.0,37768.0,14312.0,1.0
g_mp[journaling x ChromLen],-0.003,0.035,-0.061,0.05,0.0,0.0,40717.0,15358.0,1.0
g_mp[signals x ChangeParamProb],-0.003,0.037,-0.06,0.055,0.0,0.0,33842.0,15120.0,1.0
g_mp[da x TestInsertionProb],-0.003,0.037,-0.06,0.056,0.0,0.0,35217.0,14324.0,1.0
g_mp[timer x Elite],-0.003,0.038,-0.064,0.059,0.0,0.0,35614.0,14442.0,1.0
g_mp[timer x RandPert],-0.003,0.039,-0.064,0.059,0.0,0.0,28973.0,14932.0,1.0
g_mp[helpers x RandPert],-0.003,0.036,-0.06,0.055,0.0,0.0,31777.0,14100.0,1.0
g_mp[journaling x Pop],-0.002,0.036,-0.058,0.056,0.0,0.0,33530.0,13966.0,1.0
g_mp[timer x TestInsertionProb],-0.002,0.038,-0.061,0.062,0.0,0.0,40603.0,15338.0,1.0
g_mp[signals x RandPert],-0.002,0.037,-0.06,0.058,0.0,0.0,33457.0,14873.0,1.0
g_mp[lazy_import x TestInsertProb],-0.002,0.035,-0.056,0.054,0.0,0.0,34470.0,15645.0,1.0
g_mp[signals x Elite],-0.002,0.037,-0.064,0.055,0.0,0.0,36908.0,14517.0,1.0
g_mp[cmd x TestInsertionProb],-0.002,0.04,-0.066,0.06,0.0,0.0,33846.0,14948.0,1.0
g_mp[headers x RandPert],-0.002,0.035,-0.057,0.054,0.0,0.0,32058.0,15219.0,1.0
g_mp[validation x TestInsertionProb],-0.002,0.039,-0.062,0.063,0.0,0.0,36693.0,13364.0,1.0
g_mp[journaling x RandPert],-0.002,0.035,-0.058,0.055,0.0,0.0,33715.0,14752.0,1.0
g_mp[immutable_list x TestInsertProb],-0.002,0.036,-0.057,0.059,0.0,0.0,35211.0,15647.0,1.0
g_mp[lazy_import x StatemInsertProb],-0.002,0.035,-0.059,0.053,0.0,0.0,31913.0,13961.0,1.0
g_mp[headers x ChangeParamProb],-0.002,0.035,-0.056,0.055,0.0,0.0,34584.0,15560.0,1.0
g_mp[helpers x TestInsertProb],-0.002,0.036,-0.057,0.056,0.0,0.0,38911.0,14700.0,1.0
g_mp[pgzero_frontend x TestInsertProb],-0.002,0.035,-0.057,0.054,0.0,0.0,34140.0,15322.0,1.0
g_mp[positional_validation x Elite],-0.002,0.035,-0.058,0.054,0.0,0.0,35591.0,15435.0,1.0
g_mp[maybe x TestInsertionProb],-0.002,0.039,-0.063,0.062,0.0,0.0,38445.0,14427.0,1.0
g_mp[python x TestInsertProb],-0.002,0.037,-0.061,0.055,0.0,0.0,37005.0,15270.0,1.0
g_mp[immutable_list x ChangeParamProb],-0.002,0.036,-0.058,0.057,0.0,0.0,31734.0,14962.0,1.0
g_mp[headers x TestInsertProb],-0.002,0.036,-0.059,0.055,0.0,0.0,33941.0,15690.0,1.0
g_mp[da x TestInsertProb],-0.002,0.037,-0.062,0.054,0.0,0.0,32979.0,14387.0,1.0
g_mp[namedtupleutils x TestInsertProb],-0.002,0.04,-0.065,0.062,0.0,0.0,35749.0,14156.0,1.0
g_mp[yield_from x TestInsertProb],-0.002,0.035,-0.059,0.052,0.0,0.0,35332.0,15336.0,1.0
g_mp[decorators x TestInsertProb],-0.002,0.035,-0.06,0.052,0.0,0.0,36237.0,14391.0,1.0
g_mp[helpers x ChangeParamProb],-0.002,0.035,-0.059,0.053,0.0,0.0,32904.0,14745.0,1.0
g_mp[decorators x ChangeParamProb],-0.002,0.036,-0.059,0.054,0.0,0.0,35176.0,14246.0,1.0
g_mp[timer x TestChangeProb],-0.002,0.038,-0.065,0.056,0.0,0.0,39119.0,14353.0,1.0
g_mp[python x ChangeParamProb],-0.002,0.036,-0.06,0.057,0.0,0.0,35304.0,14915.0,1.0
g_mp[config x ChangeParamProb],-0.002,0.037,-0.062,0.054,0.0,0.0,36392.0,14963.0,1.0
g_mp[pgzero_frontend x ChangeParamProb],-0.002,0.035,-0.06,0.051,0.0,0.0,33553.0,14837.0,1.0
g_mp[python x RandPert],-0.001,0.036,-0.06,0.057,0.0,0.0,33615.0,14675.0,1.0
g_mp[cmd x TestInsertProb],-0.001,0.04,-0.063,0.063,0.0,0.0,40233.0,13897.0,1.0
g_mp[pgzero_frontend x TestChangeProb],-0.001,0.035,-0.057,0.055,0.0,0.0,32034.0,14916.0,1.0
g_mp[da x ChangeParamProb],-0.001,0.037,-0.057,0.059,0.0,0.0,32974.0,15716.0,1.0
g_mp[timer x TestDeleteProb],-0.001,0.038,-0.062,0.06,0.0,0.0,31482.0,15142.0,1.0
g_mp[decorators x RandPert],-0.001,0.035,-0.057,0.057,0.0,0.0,33645.0,15156.0,1.0
g_mp[pgzero_frontend x RandPert],-0.001,0.035,-0.056,0.055,0.0,0.0,36898.0,14888.0,1.0
g_mp[validation x ChangeParamProb],-0.001,0.04,-0.063,0.063,0.0,0.0,35900.0,15155.0,1.0
g_mp[cmd x RandPert],-0.001,0.04,-0.067,0.06,0.0,0.0,34485.0,14797.0,1.0
g_mp[maybe x TestInsertProb],-0.001,0.04,-0.064,0.063,0.0,0.0,33131.0,13290.0,1.0
g_mp[da x RandPert],-0.001,0.037,-0.06,0.057,0.0,0.0,33089.0,14081.0,1.0
g_mp[cmd x ChangeParamProb],-0.001,0.04,-0.064,0.063,0.0,0.0,30377.0,14710.0,1.0
g_mp[py_base x TestDeleteProb],-0.001,0.036,-0.059,0.055,0.0,0.0,37645.0,15290.0,1.0
g_mp[helpers x RandPert],-0.001,0.035,-0.057,0.056,0.0,0.0,34555.0,13838.0,1.0
g_mp[immutable_list x RandPert],-0.001,0.037,-0.06,0.056,0.0,0.0,42186.0,15020.0,1.0
g_mp[validation x TestInsertProb],-0.001,0.039,-0.065,0.061,0.0,0.0,37066.0,14548.0,1.0
g_mp[validation x RandPert],-0.001,0.04,-0.064,0.063,0.0,0.0,34395.0,14207.0,1.0
g_mp[maybe x ChangeParamProb],-0.001,0.04,-0.063,0.064,0.0,0.0,36044.0,13948.0,1.0
g_mp[da x Elite],-0.001,0.036,-0.059,0.056,0.0,0.0,34589.0,15261.0,1.0
g_mp[namedtupleutils x TestInsertionProb],-0.001,0.041,-0.063,0.067,0.0,0.0,31504.0,13731.0,1.0
g_mp[timer x Pop],-0.001,0.038,-0.063,0.059,0.0,0.0,38678.0,15234.0,1.0
g_mp[headers x Elite],-0.001,0.035,-0.056,0.057,0.0,0.0,34122.0,13666.0,1.0
g_mp[helpers x Elite],-0.001,0.036,-0.057,0.056,0.0,0.0,32329.0,15068.0,1.0
g_mp[immutable_list x Elite],-0.001,0.036,-0.058,0.057,0.0,0.0,34783.0,14786.0,1.0
g_mp[signals x StatemInsertProb],-0.001,0.037,-0.061,0.057,0.0,0.0,35481.0,14238.0,1.0
g_mp[cmd x Elite],-0.001,0.04,-0.064,0.062,0.0,0.0,37300.0,13870.0,1.0
g_mp[decorators x TestChangeProb],-0.001,0.036,-0.058,0.057,0.0,0.0,26673.0,14543.0,1.0
g_mp[python x Elite],-0.001,0.037,-0.058,0.058,0.0,0.0,36141.0,14071.0,1.0
g_mp[decorators x Elite],-0.001,0.035,-0.055,0.058,0.0,0.0,29502.0,15146.0,1.0
g_mp[helpers x Elite],-0.001,0.036,-0.058,0.057,0.0,0.0,31471.0,14312.0,1.0
g_mp[pgzero_frontend x Elite],-0.001,0.035,-0.057,0.053,0.0,0.0,34310.0,14851.0,1.0
g_mp[signals x Crossover],-0.001,0.037,-0.058,0.059,0.0,0.0,33649.0,15237.0,1.0
g_mp[lazy_import x Pop],-0.001,0.035,-0.058,0.055,0.0,0.0,35123.0,15439.0,1.0
g_mp[lazy_import x TestInsertionProb],-0.001,0.035,-0.055,0.057,0.0,0.0,34457.0,15250.0,1.0
g_mp[signals x TourSize],-0.001,0.037,-0.059,0.06,0.0,0.0,31521.0,14678.0,1.0
g_mp[lazy_import x Crossover],-0.001,0.035,-0.057,0.054,0.0,0.0,34236.0,14484.0,1.0
g_mp[python x TestChangeProb],-0.001,0.037,-0.059,0.057,0.0,0.0,35744.0,15606.0,1.0
g_mp[lazy_import x TestChangeProb],-0.001,0.035,-0.055,0.056,0.0,0.0,38233.0,14807.0,1.0
g_mp[namedtupleutils x Crossover],-0.001,0.04,-0.064,0.063,0.0,0.0,32819.0,15021.0,1.0
g_mp[validation x TestChangeProb],-0.001,0.039,-0.063,0.063,0.0,0.0,36494.0,14474.0,1.0
g_mp[helpers x TestChangeProb],-0.001,0.035,-0.057,0.055,0.0,0.0,35348.0,14769.0,1.0
g_mp[immutable_list x TestChangeProb],-0.001,0.036,-0.056,0.058,0.0,0.0,28811.0,14448.0,1.0
g_mp[headers x TestChangeProb],-0.001,0.035,-0.06,0.053,0.0,0.0,34613.0,14967.0,1.0
g_mp[cmd x TestChangeProb],-0.001,0.04,-0.065,0.062,0.0,0.0,37190.0,14769.0,1.0
g_mp[namedtupleutils x TestDeleteProb],0.0,0.039,-0.062,0.063,0.0,0.0,33577.0,15557.0,1.0
g_mp[namedtupleutils x TestChangeProb],0.0,0.04,-0.064,0.065,0.0,0.0,35682.0,13471.0,1.0
g_mp[maybe x StatemInsertProb],0.0,0.04,-0.063,0.063,0.0,0.0,31233.0,15244.0,1.0
g_mp[maybe x TestChangeProb],-0.0,0.039,-0.063,0.062,0.0,0.0,38326.0,14264.0,1.0
g_mp[da x TestChangeProb],-0.0,0.037,-0.059,0.06,0.0,0.0,34926.0,14747.0,1.0
g_mp[positional_validation x StatemInsertProb],-0.0,0.036,-0.057,0.057,0.0,0.0,37774.0,14667.0,1.0
g_mp[dict_unpacking x StatemInsertProb],-0.0,0.038,-0.062,0.06,0.0,0.0,32316.0,14218.0,1.0
g_mp[namedtupleutils x ChangeParamProb],-0.0,0.04,-0.067,0.059,0.0,0.0,33971.0,14059.0,1.0
g_mp[dict_unpacking x TestInsertProb],-0.0,0.038,-0.06,0.06,0.0,0.0,32418.0,14759.0,1.0
g_mp[h_base x TestInsertProb],-0.0,0.037,-0.057,0.06,0.0,0.0,32564.0,14082.0,1.0
g_mp[python x TourSize],-0.0,0.036,-0.059,0.057,0.0,0.0,33313.0,15184.0,1.0
g_mp[da x Crossover],0.0,0.037,-0.057,0.06,0.0,0.0,33861.0,15451.0,1.0
g_mp[decorators x TourSize],-0.0,0.035,-0.055,0.057,0.0,0.0,33645.0,15225.0,1.0
g_mp[namedtupleutils x Elite],0.0,0.04,-0.062,0.066,0.0,0.0,31940.0,14164.0,1.0
g_mp[pgzero_frontend x Crossover],0.0,0.035,-0.055,0.056,0.0,0.0,37136.0,14281.0,1.0
g_mp[python x Crossover],0.0,0.037,-0.058,0.058,0.0,0.0,31282.0,15242.0,1.0
g_mp[validation x Crossover],0.0,0.04,-0.062,0.064,0.0,0.0,31276.0,14969.0,1.0
g_mp[maybe x Crossover],0.0,0.039,-0.061,0.065,0.0,0.0,36587.0,15139.0,1.0
g_mp[maybe x Elite],-0.0,0.039,-0.062,0.064,0.0,0.0,29843.0,13868.0,1.0
g_mp[immutable_list x Crossover],0.0,0.036,-0.058,0.057,0.0,0.0,35941.0,14818.0,1.0
g_mp[yield_from x Crossover],0.0,0.035,-0.057,0.054,0.0,0.0,33706.0,15284.0,1.0
g_mp[da x TourSize],0.0,0.036,-0.057,0.06,0.0,0.0,35935.0,15060.0,1.0
g_mp[decorators x Crossover],0.0,0.035,-0.057,0.055,0.0,0.0,40439.0,15191.0,1.0
g_mp[cmd x TourSize],-0.0,0.04,-0.063,0.063,0.0,0.0,32409.0,14593.0,1.0
g_mp[cmd x StatemInsertProb],0.0,0.04,-0.061,0.067,0.0,0.0,31273.0,14177.0,1.0
g_mp[headers x TourSize],-0.0,0.035,-0.057,0.055,0.0,0.0,36067.0,14982.0,1.0
g_mp[helpers x Crossover],0.0,0.035,-0.057,0.055,0.0,0.0,34077.0,15289.0,1.0
g_mp[headers x Crossover],0.0,0.035,-0.057,0.056,0.0,0.0,31825.0,15069.0,1.0
g_mp[helpers x TourSize],-0.0,0.035,-0.055,0.057,0.0,0.0,34702.0,14689.0,1.0
g_mp[immutable_list x TourSize],0.0,0.037,-0.059,0.059,0.0,0.0,27798.0,14054.0,1.0
g_mp[pgzero_frontend x TourSize],-0.0,0.035,-0.057,0.054,0.0,0.0,31512.0,14279.0,1.0
g_mp[maybe x RandPert],-0.0,0.04,-0.062,0.064,0.0,0.0,36679.0,14457.0,1.0
g_mp[validation x Elite],-0.0,0.04,-0.063,0.062,0.0,0.0,34767.0,14466.0,1.0
g_mp[h_base x ChangeParamProb],0.0,0.037,-0.059,0.057,0.0,0.0,32389.0,15045.0,1.0
g_mp[validation x TourSize],0.0,0.039,-0.061,0.062,0.0,0.0,35349.0,15288.0,1.0
g_mp[h_base x RandPert],0.0,0.036,-0.056,0.06,0.0,0.0,32018.0,14165.0,1.0
g_mp[namedtupleutils x RandPert],0.0,0.04,-0.064,0.065,0.0,0.0,42007.0,14649.0,1.0
g_mp[maybe x TourSize],0.0,0.04,-0.066,0.062,0.0,0.0,35078.0,15546.0,1.0
g_mp[cmd x Crossover],-0.0,0.04,-0.062,0.064,0.0,0.0,39747.0,14630.0,1.0
g_mp[signals x ChromLen],0.001,0.037,-0.058,0.06,0.0,0.0,33417.0,14586.0,1.0
g_mp[cmd x TestDeleteProb],0.001,0.04,-0.062,0.064,0.0,0.0,34673.0,13748.0,1.0
g_mp[cmd x ChromLen],0.001,0.04,-0.063,0.065,0.0,0.0,31758.0,14630.0,1.0
g_mp[validation x ChromLen],0.001,0.04,-0.063,0.064,0.0,0.0,38296.0,14184.0,1.0
g_mp[timer x TestInsertProb],0.001,0.038,-0.057,0.064,0.0,0.0,37451.0,15139.0,1.0
g_mp[maybe x TestDeleteProb],0.001,0.04,-0.063,0.063,0.0,0.0,34223.0,14450.0,1.0
g_mp[validation x TestDeleteProb],0.001,0.039,-0.062,0.062,0.0,0.0,33883.0,14733.0,1.0
g_mp[python x TestDeleteProb],0.001,0.036,-0.059,0.056,0.0,0.0,36341.0,16086.0,1.0
