,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a_m[da],6.687,0.013,6.667,6.709,0.0,0.0,1314.0,2882.0,1.0
a_m[config],6.696,0.013,6.676,6.718,0.0,0.0,1270.0,3282.0,1.0
a_m[maybe],6.998,0.013,6.977,7.018,0.0,0.0,1243.0,3457.0,1.0
a_m[cmd],7.081,0.013,7.06,7.102,0.0,0.0,1252.0,3237.0,1.0
a_m[immutable_list],7.114,0.013,7.092,7.134,0.0,0.0,1279.0,3263.0,1.0
a_m[timer],7.123,0.013,7.102,7.144,0.0,0.0,1331.0,3344.0,1.0
a_m[namedtupleutils],7.192,0.013,7.171,7.213,0.0,0.0,1292.0,3351.0,1.0
a_m[dict_unpacking],7.218,0.013,7.197,7.239,0.0,0.0,1218.0,3596.0,1.0
a_m[packages],7.241,0.013,7.22,7.262,0.0,0.0,1311.0,3257.0,1.0
a_m[lazy_import],7.261,0.013,7.24,7.282,0.0,0.0,1282.0,3022.0,1.0
a_m[signals],7.301,0.013,7.28,7.322,0.0,0.0,1320.0,3433.0,1.0
a_m[return_from_generator],7.302,0.013,7.282,7.323,0.0,0.0,1274.0,3150.0,1.0
a_m[journaling],7.313,0.013,7.291,7.333,0.0,0.0,1327.0,3533.0,1.0
a_m[py_base],7.32,0.013,7.3,7.341,0.0,0.0,1325.0,3247.0,1.0
a_m[decorators],7.4,0.013,7.38,7.421,0.0,0.0,1329.0,3316.0,1.0
a_m[yield_from],7.488,0.013,7.467,7.509,0.0,0.0,1243.0,3092.0,1.0
a_m[py_helpers],7.574,0.013,7.552,7.594,0.0,0.0,1209.0,3520.0,1.0
a_m[s_helpers],7.623,0.013,7.601,7.643,0.0,0.0,1287.0,3463.0,1.0
a_m[validation],7.623,0.013,7.602,7.644,0.0,0.0,1242.0,3251.0,1.0
a_m[h_base],7.683,0.013,7.662,7.703,0.0,0.0,1273.0,3258.0,1.0
a_m[pgzero_frontend],7.814,0.013,7.793,7.835,0.0,0.0,1263.0,3049.0,1.0
a_m[headers],7.883,0.013,7.863,7.905,0.0,0.0,1253.0,3487.0,1.0
a_m[python],8.0,0.013,7.979,8.021,0.0,0.0,1252.0,3258.0,1.0
a_m[positional_validation],8.058,0.013,8.037,8.078,0.0,0.0,1296.0,3559.0,1.0
