,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
g_mp[dict_unpacking x TestChangeProb|TourSize],1.07,0.699,0.532,1.463,0.005,0.004,23455.0,17229.0,1.0
g_mp[lazy_import x Crossover|Elite],1.07,0.731,0.565,1.482,0.005,0.004,25992.0,16283.0,1.0
g_mp[return_from_generator x TestChangeProb|TestInsertProb],1.07,0.709,0.507,1.434,0.005,0.004,24041.0,17070.0,1.0
g_mp[return_from_generator x Elite|TestDeleteProb],1.07,0.625,0.513,1.45,0.005,0.003,24650.0,15977.0,1.0
g_mp[immutable_list x Crossover|TestDeleteProb],1.07,0.627,0.525,1.443,0.005,0.003,24347.0,17214.0,1.0
g_mp[da x TestDeleteProb|TestInsertProb],1.07,0.673,0.545,1.456,0.005,0.004,23904.0,16616.0,1.0
g_mp[py_base x TestDeleteProb|TestInsertionProb],1.07,0.63,0.541,1.481,0.005,0.003,24203.0,16598.0,1.0
g_mp[pgzero_frontend x ChangeParamProb|TourSize],1.07,0.74,0.518,1.411,0.006,0.004,24704.0,16224.0,1.0
g_mp[decorators x Crossover|Pop],1.07,0.788,0.523,1.445,0.006,0.004,24098.0,17202.0,1.0
g_mp[journaling x TestChangeProb|TestInsertProb],1.07,0.627,0.552,1.495,0.005,0.003,23407.0,16318.0,1.0
g_mp[python x Elite|StatemInsertProb],1.07,0.873,0.561,1.492,0.006,0.005,24754.0,15583.0,1.0
g_mp[packages x Elite|TestChangeProb],1.07,0.874,0.515,1.437,0.006,0.004,23458.0,15753.0,1.0
g_mp[maybe x TestChangeProb|TestInsertionProb],1.07,0.691,0.543,1.456,0.005,0.004,24674.0,17216.0,1.0
g_mp[cmd x Elite|TestDeleteProb],1.07,0.73,0.538,1.465,0.005,0.004,25570.0,15637.0,1.0
g_mp[maybe x TestDeleteProb|TestInsertProb],1.07,0.663,0.534,1.453,0.005,0.004,23406.0,16732.0,1.0
g_mp[immutable_list x ChromLen|TestChangeProb],1.07,0.638,0.537,1.473,0.005,0.003,23117.0,16494.0,1.0
g_mp[headers x ChromLen|Crossover],1.07,0.867,0.546,1.467,0.006,0.004,24808.0,17697.0,1.0
g_mp[python x Elite|TestChangeProb],1.07,0.683,0.514,1.432,0.005,0.004,23920.0,17011.0,1.0
g_mp[decorators x Crossover|TestInsertionProb],1.07,0.739,0.506,1.431,0.005,0.004,22060.0,17066.0,1.0
g_mp[py_helpers x TestChangeProb|TestInsertProb],1.07,0.64,0.535,1.46,0.005,0.003,23743.0,17100.0,1.0
g_mp[yield_from x Crossover|TestInsertProb],1.07,0.628,0.537,1.458,0.005,0.003,23384.0,15844.0,1.0
g_mp[config x ChromLen|TestInsertProb],1.07,0.63,0.507,1.442,0.005,0.003,22750.0,16375.0,1.0
g_mp[py_helpers x ChromLen|TestChangeProb],1.07,0.68,0.534,1.457,0.005,0.004,24428.0,16693.0,1.0
g_mp[signals x Crossover|TestInsertProb],1.07,0.68,0.503,1.415,0.005,0.004,21149.0,16517.0,1.0
g_mp[h_base x ChromLen|TestChangeProb],1.07,0.922,0.533,1.47,0.007,0.005,23047.0,16903.0,1.0
g_mp[timer x Elite|TestChangeProb],1.07,0.743,0.534,1.465,0.006,0.004,23693.0,16985.0,1.0
g_mp[positional_validation x TestDeleteProb|TourSize],1.07,0.606,0.514,1.441,0.005,0.003,25437.0,16354.0,1.0
g_mp[validation x Pop|TestChangeProb],1.07,0.791,0.494,1.42,0.006,0.004,25528.0,16775.0,1.0
g_mp[return_from_generator x Pop|StatemInsertProb],1.07,0.62,0.525,1.442,0.005,0.003,23530.0,15969.0,1.0
g_mp[timer x Pop|TestInsertProb],1.07,0.854,0.543,1.446,0.007,0.005,22287.0,17515.0,1.0
g_mp[journaling x Elite|TourSize],1.07,0.732,0.529,1.472,0.005,0.004,25615.0,16629.0,1.0
g_mp[py_base x ChangeParamProb|Pop],1.07,0.559,0.524,1.464,0.004,0.003,24828.0,16682.0,1.0
g_mp[py_helpers x ChangeParamProb|TestChangeProb],1.07,0.697,0.564,1.488,0.006,0.004,23096.0,16506.0,1.0
g_mp[da x TestInsertProb|TourSize],1.07,0.768,0.527,1.458,0.006,0.004,22668.0,16077.0,1.0
g_mp[py_base x ChangeParamProb|TestChangeProb],1.07,0.692,0.529,1.433,0.005,0.004,24409.0,16724.0,1.0
g_mp[yield_from x ChangeParamProb|Pop],1.07,0.727,0.536,1.436,0.006,0.004,24794.0,16464.0,1.0
g_mp[maybe x TestInsertProb|TourSize],1.07,1.006,0.526,1.44,0.007,0.005,24231.0,15069.0,1.0
g_mp[s_helpers x ChangeParamProb|Crossover],1.07,0.782,0.525,1.448,0.006,0.004,22771.0,17344.0,1.0
g_mp[pgzero_frontend x Elite|TourSize],1.07,0.811,0.525,1.441,0.006,0.004,23811.0,16810.0,1.0
g_mp[signals x RandPert|TestInsertionProb],1.07,0.724,0.532,1.474,0.005,0.004,25075.0,16289.0,1.0
g_mp[packages x TestChangeProb|TestDeleteProb],1.07,0.734,0.516,1.428,0.005,0.004,24056.0,17133.0,1.0
g_mp[pgzero_frontend x Pop|TestChangeProb],1.07,0.902,0.508,1.441,0.007,0.005,24127.0,16067.0,1.0
g_mp[py_helpers x RandPert|TestDeleteProb],1.07,0.629,0.538,1.47,0.005,0.003,24825.0,16904.0,1.0
g_mp[python x StatemInsertProb|TourSize],1.07,0.674,0.522,1.45,0.005,0.004,24613.0,16473.0,1.0
g_mp[headers x ChangeParamProb|Crossover],1.07,0.718,0.503,1.428,0.005,0.004,25286.0,16726.0,1.0
g_mp[validation x ChangeParamProb|TestChangeProb],1.07,0.545,0.503,1.437,0.004,0.003,24244.0,16054.0,1.0
g_mp[pgzero_frontend x ChangeParamProb|ChromLen],1.07,0.786,0.531,1.453,0.007,0.005,24691.0,17491.0,1.0
g_mp[s_helpers x TestInsertProb|TestInsertionProb],1.07,0.707,0.542,1.476,0.005,0.004,24058.0,16848.0,1.0
g_mp[da x ChangeParamProb|RandPert],1.07,0.593,0.54,1.474,0.005,0.003,23358.0,15651.0,1.0
g_mp[py_base x ChangeParamProb|TestDeleteProb],1.07,0.598,0.533,1.461,0.005,0.003,24778.0,15742.0,1.0
g_mp[return_from_generator x ChangeParamProb|RandPert],1.07,0.674,0.569,1.484,0.005,0.004,23807.0,17488.0,1.0
g_mp[pgzero_frontend x ChangeParamProb|Pop],1.07,0.653,0.538,1.453,0.005,0.004,21908.0,15478.0,1.0
g_mp[yield_from x ChangeParamProb|TestDeleteProb],1.07,0.949,0.552,1.455,0.007,0.005,25872.0,17160.0,1.0
g_mp[signals x StatemInsertProb|TestDeleteProb],1.07,0.564,0.515,1.456,0.004,0.003,24546.0,15790.0,1.0
g_mp[timer x RandPert|TestInsertProb],1.07,0.65,0.514,1.45,0.005,0.004,23974.0,16344.0,1.0
g_mp[positional_validation x ChangeParamProb|TestInsertionProb],1.07,0.594,0.533,1.469,0.005,0.003,23091.0,15972.0,1.0
g_mp[timer x Pop|TourSize],1.07,0.771,0.521,1.452,0.006,0.004,25149.0,16803.0,1.0
g_mp[pgzero_frontend x RandPert|StatemInsertProb],1.07,0.654,0.509,1.423,0.005,0.003,23602.0,17019.0,1.0
g_mp[validation x Pop|TestInsertionProb],1.07,0.78,0.56,1.465,0.006,0.004,23576.0,17172.0,1.0
g_mp[py_base x Pop|TestDeleteProb],1.07,0.607,0.497,1.438,0.005,0.003,22734.0,16224.0,1.0
g_mp[py_helpers x Pop|TestDeleteProb],1.07,0.725,0.519,1.439,0.005,0.004,24906.0,16591.0,1.0
g_mp[s_helpers x ChangeParamProb|Elite],1.07,0.748,0.517,1.459,0.006,0.004,23112.0,16862.0,1.0
g_mp[decorators x TestInsertionProb|TourSize],1.07,0.725,0.515,1.464,0.005,0.004,23335.0,16818.0,1.0
g_mp[py_helpers x TestInsertProb|TestInsertionProb],1.07,0.894,0.515,1.43,0.007,0.005,23240.0,16534.0,1.0
g_mp[py_base x TestInsertionProb|TourSize],1.071,0.749,0.555,1.46,0.006,0.004,24855.0,16303.0,1.0
g_mp[lazy_import x Pop|TestDeleteProb],1.071,0.977,0.521,1.437,0.008,0.005,21893.0,16835.0,1.0
g_mp[pgzero_frontend x ChromLen|Pop],1.071,0.697,0.545,1.475,0.005,0.004,22789.0,16105.0,1.0
g_mp[maybe x Elite|RandPert],1.071,0.78,0.542,1.463,0.006,0.004,24237.0,16468.0,1.0
g_mp[positional_validation x Elite|Pop],1.071,0.666,0.54,1.469,0.005,0.003,24675.0,17055.0,1.0
g_mp[da x ChromLen|TestInsertProb],1.071,0.654,0.545,1.484,0.005,0.003,22729.0,17049.0,1.0
g_mp[signals x Elite|Pop],1.071,0.691,0.54,1.448,0.005,0.004,23916.0,16653.0,1.0
g_mp[namedtupleutils x ChromLen|TestInsertProb],1.071,0.72,0.519,1.456,0.005,0.004,23829.0,17354.0,1.0
g_mp[python x Crossover|TourSize],1.071,0.726,0.549,1.481,0.006,0.004,24603.0,16091.0,1.0
g_mp[return_from_generator x Elite|Pop],1.071,0.636,0.514,1.444,0.005,0.003,22198.0,16722.0,1.0
g_mp[da x RandPert|StatemInsertProb],1.071,0.777,0.563,1.479,0.006,0.004,22127.0,16672.0,1.0
g_mp[config x StatemInsertProb|TestInsertProb],1.071,0.657,0.529,1.465,0.005,0.004,23148.0,15698.0,1.0
g_mp[s_helpers x ChromLen|TestChangeProb],1.071,0.822,0.528,1.44,0.006,0.004,25558.0,15889.0,1.0
g_mp[config x Crossover|TestDeleteProb],1.071,0.616,0.512,1.443,0.005,0.003,24813.0,16536.0,1.0
g_mp[namedtupleutils x Crossover|TestInsertionProb],1.071,0.697,0.539,1.455,0.005,0.004,25090.0,16770.0,1.0
g_mp[config x ChromLen|StatemInsertProb],1.071,0.776,0.525,1.449,0.006,0.004,24081.0,16941.0,1.0
g_mp[headers x TestDeleteProb|TestInsertionProb],1.071,0.89,0.514,1.432,0.006,0.005,23397.0,16124.0,1.0
g_mp[lazy_import x ChromLen|StatemInsertProb],1.071,0.832,0.541,1.469,0.006,0.004,24309.0,16212.0,1.0
g_mp[journaling x StatemInsertProb|TestInsertProb],1.071,0.825,0.535,1.454,0.006,0.004,24121.0,17081.0,1.0
g_mp[py_helpers x RandPert|TestChangeProb],1.071,0.927,0.519,1.454,0.007,0.005,24440.0,15780.0,1.0
g_mp[yield_from x Crossover|TestInsertionProb],1.071,0.746,0.54,1.481,0.005,0.004,23547.0,16608.0,1.0
g_mp[timer x TestDeleteProb|TestInsertionProb],1.071,0.987,0.498,1.426,0.008,0.006,23613.0,15333.0,1.0
g_mp[packages x TestDeleteProb|TestInsertionProb],1.071,0.659,0.554,1.484,0.005,0.003,24418.0,16128.0,1.0
g_mp[lazy_import x StatemInsertProb|TestInsertionProb],1.071,0.732,0.537,1.447,0.006,0.004,22707.0,15372.0,1.0
g_mp[config x Crossover|TestChangeProb],1.071,0.687,0.517,1.457,0.005,0.004,23650.0,16243.0,1.0
g_mp[journaling x Crossover|TestChangeProb],1.071,0.827,0.523,1.448,0.006,0.004,20790.0,16358.0,1.0
g_mp[immutable_list x Pop|TestInsertProb],1.071,0.747,0.524,1.451,0.006,0.004,23469.0,16722.0,1.0
g_mp[positional_validation x ChangeParamProb|StatemInsertProb],1.071,0.756,0.527,1.445,0.006,0.004,23293.0,17532.0,1.0
g_mp[pgzero_frontend x Crossover|TourSize],1.071,0.606,0.544,1.46,0.005,0.003,21726.0,16563.0,1.0
g_mp[timer x ChangeParamProb|TestChangeProb],1.071,0.75,0.523,1.44,0.006,0.004,24931.0,15442.0,1.0
g_mp[packages x RandPert|TestDeleteProb],1.071,0.813,0.517,1.433,0.006,0.004,22975.0,16175.0,1.0
g_mp[python x ChromLen|RandPert],1.071,0.926,0.553,1.459,0.007,0.005,24496.0,17015.0,1.0
g_mp[journaling x ChromLen|RandPert],1.071,0.694,0.524,1.451,0.005,0.004,23875.0,16450.0,1.0
g_mp[positional_validation x Crossover|StatemInsertProb],1.071,0.692,0.546,1.477,0.005,0.004,24931.0,17125.0,1.0
g_mp[python x Crossover|TestInsertionProb],1.071,0.91,0.528,1.458,0.007,0.005,22742.0,16324.0,1.0
g_mp[journaling x Pop|TestChangeProb],1.071,0.739,0.52,1.456,0.006,0.004,25309.0,15888.0,1.0
g_mp[decorators x RandPert|StatemInsertProb],1.071,0.698,0.503,1.447,0.005,0.004,26672.0,17138.0,1.0
g_mp[signals x Crossover|Pop],1.071,0.858,0.517,1.455,0.006,0.004,23415.0,16811.0,1.0
g_mp[signals x Pop|RandPert],1.071,0.695,0.536,1.454,0.005,0.004,23734.0,15880.0,1.0
g_mp[signals x Elite|StatemInsertProb],1.071,0.763,0.533,1.464,0.006,0.004,25053.0,17128.0,1.0
g_mp[namedtupleutils x StatemInsertProb|TestChangeProb],1.071,0.759,0.537,1.476,0.006,0.004,25576.0,15265.0,1.0
g_mp[validation x Elite|TestInsertionProb],1.071,0.87,0.507,1.451,0.007,0.005,22079.0,16205.0,1.0
g_mp[lazy_import x RandPert|TestInsertionProb],1.071,0.806,0.547,1.465,0.006,0.004,23756.0,16440.0,1.0
g_mp[lazy_import x Pop|RandPert],1.071,0.678,0.537,1.469,0.005,0.004,24011.0,16993.0,1.0
g_mp[python x ChangeParamProb|TestInsertProb],1.071,0.752,0.535,1.457,0.005,0.004,25393.0,17162.0,1.0
g_mp[return_from_generator x Pop|RandPert],1.071,1.028,0.543,1.459,0.008,0.005,23357.0,16740.0,1.0
g_mp[lazy_import x StatemInsertProb|TestDeleteProb],1.071,0.673,0.539,1.439,0.005,0.004,26206.0,16258.0,1.0
g_mp[config x RandPert|TestInsertionProb],1.071,0.751,0.532,1.449,0.006,0.004,24817.0,16795.0,1.0
g_mp[return_from_generator x Elite|TourSize],1.071,0.832,0.522,1.447,0.006,0.004,23960.0,16401.0,1.0
g_mp[journaling x TestChangeProb|TourSize],1.071,0.792,0.547,1.467,0.006,0.004,24196.0,16097.0,1.0
g_mp[return_from_generator x ChangeParamProb|TestInsertionProb],1.071,0.798,0.522,1.473,0.006,0.004,23278.0,16926.0,1.0
g_mp[maybe x Crossover|Pop],1.071,0.668,0.54,1.472,0.005,0.004,25669.0,15915.0,1.0
g_mp[yield_from x Elite|TourSize],1.071,0.611,0.552,1.463,0.005,0.003,23326.0,16003.0,1.0
g_mp[cmd x ChangeParamProb|Crossover],1.071,1.032,0.511,1.432,0.008,0.005,22289.0,16952.0,1.0
g_mp[headers x Crossover|Pop],1.071,0.627,0.505,1.431,0.005,0.003,23399.0,16018.0,1.0
g_mp[h_base x RandPert|TourSize],1.071,0.989,0.546,1.468,0.007,0.005,23465.0,16789.0,1.0
g_mp[headers x TestChangeProb|TestDeleteProb],1.071,0.831,0.544,1.461,0.006,0.005,24726.0,16968.0,1.0
g_mp[immutable_list x Crossover|RandPert],1.071,0.677,0.534,1.469,0.005,0.004,25047.0,16655.0,1.0
g_mp[return_from_generator x ChromLen|Crossover],1.071,0.984,0.512,1.439,0.007,0.005,24101.0,16236.0,1.0
g_mp[yield_from x Elite|StatemInsertProb],1.071,0.787,0.522,1.439,0.006,0.004,23981.0,16611.0,1.0
g_mp[da x StatemInsertProb|TourSize],1.071,0.8,0.505,1.418,0.006,0.004,23922.0,15685.0,1.0
g_mp[headers x ChromLen|Pop],1.071,0.614,0.559,1.494,0.005,0.003,23284.0,16150.0,1.0
g_mp[pgzero_frontend x StatemInsertProb|TestDeleteProb],1.071,0.672,0.533,1.459,0.005,0.003,23718.0,16632.0,1.0
g_mp[headers x ChangeParamProb|ChromLen],1.071,0.629,0.539,1.459,0.005,0.003,24220.0,16590.0,1.0
g_mp[lazy_import x ChromLen|TestInsertProb],1.071,0.898,0.546,1.466,0.007,0.005,24259.0,15931.0,1.0
g_mp[positional_validation x Pop|StatemInsertProb],1.071,0.642,0.547,1.481,0.005,0.004,21834.0,16274.0,1.0
g_mp[h_base x ChangeParamProb|ChromLen],1.071,0.678,0.542,1.465,0.005,0.003,24387.0,17547.0,1.0
g_mp[pgzero_frontend x ChromLen|Elite],1.071,0.658,0.521,1.442,0.005,0.004,24577.0,16997.0,1.0
g_mp[namedtupleutils x Crossover|StatemInsertProb],1.071,0.681,0.512,1.435,0.005,0.004,23013.0,16935.0,1.0
g_mp[timer x ChangeParamProb|Elite],1.071,0.711,0.504,1.438,0.006,0.004,24966.0,16405.0,1.0
g_mp[packages x Elite|TestInsertProb],1.071,0.784,0.544,1.473,0.006,0.005,24902.0,17169.0,1.0
g_mp[config x RandPert|TestInsertProb],1.071,0.705,0.537,1.449,0.005,0.004,22888.0,16134.0,1.0
g_mp[timer x Elite|TestInsertionProb],1.071,0.683,0.54,1.472,0.005,0.004,23614.0,17202.0,1.0
g_mp[h_base x Elite|TestInsertionProb],1.071,0.626,0.529,1.458,0.005,0.003,23822.0,16083.0,1.0
g_mp[python x Elite|TestDeleteProb],1.071,0.772,0.503,1.411,0.006,0.005,23193.0,15756.0,1.0
g_mp[headers x StatemInsertProb|TestChangeProb],1.071,0.715,0.524,1.459,0.005,0.004,25246.0,16800.0,1.0
g_mp[py_helpers x TestDeleteProb|TourSize],1.071,0.586,0.545,1.489,0.004,0.003,24303.0,16058.0,1.0
g_mp[python x ChangeParamProb|ChromLen],1.072,0.685,0.552,1.482,0.005,0.004,24546.0,17146.0,1.0
g_mp[da x TestDeleteProb|TestInsertionProb],1.072,0.859,0.546,1.473,0.006,0.004,24849.0,16610.0,1.0
g_mp[pgzero_frontend x Crossover|Elite],1.072,0.672,0.549,1.471,0.005,0.004,25172.0,16458.0,1.0
g_mp[decorators x Crossover|Elite],1.072,1.035,0.513,1.427,0.007,0.005,24034.0,16169.0,1.0
g_mp[validation x StatemInsertProb|TestChangeProb],1.072,0.874,0.517,1.438,0.007,0.005,24835.0,16896.0,1.0
g_mp[pgzero_frontend x ChromLen|TestInsertionProb],1.072,0.59,0.581,1.519,0.005,0.003,22871.0,16570.0,1.0
g_mp[packages x StatemInsertProb|TestChangeProb],1.072,0.841,0.544,1.477,0.006,0.004,24258.0,15887.0,1.0
g_mp[h_base x RandPert|TestInsertProb],1.072,0.66,0.533,1.465,0.005,0.004,23894.0,16955.0,1.0
g_mp[s_helpers x Crossover|TestChangeProb],1.072,0.677,0.533,1.469,0.005,0.004,25447.0,15951.0,1.0
g_mp[journaling x RandPert|TestInsertProb],1.072,0.798,0.54,1.465,0.006,0.004,23908.0,16570.0,1.0
g_mp[lazy_import x RandPert|TestDeleteProb],1.072,1.127,0.527,1.466,0.008,0.006,23162.0,16610.0,1.0
g_mp[dict_unpacking x ChromLen|TestInsertProb],1.072,0.748,0.508,1.434,0.006,0.004,23558.0,16509.0,1.0
g_mp[py_base x ChromLen|TestInsertProb],1.072,0.911,0.506,1.432,0.007,0.005,23107.0,16303.0,1.0
g_mp[s_helpers x RandPert|TestInsertProb],1.072,0.671,0.524,1.444,0.005,0.004,25222.0,16452.0,1.0
g_mp[validation x ChangeParamProb|Crossover],1.072,0.764,0.523,1.458,0.006,0.004,23538.0,15925.0,1.0
g_mp[headers x RandPert|TestInsertionProb],1.072,1.394,0.523,1.455,0.01,0.007,24868.0,16067.0,1.0
g_mp[lazy_import x Crossover|RandPert],1.072,0.742,0.527,1.442,0.006,0.004,23791.0,16474.0,1.0
g_mp[validation x Crossover|StatemInsertProb],1.072,0.594,0.517,1.437,0.004,0.003,23860.0,16114.0,1.0
g_mp[return_from_generator x ChromLen|TestDeleteProb],1.072,0.757,0.535,1.457,0.006,0.004,24126.0,16466.0,1.0
g_mp[da x StatemInsertProb|TestInsertProb],1.072,0.748,0.524,1.453,0.006,0.004,23940.0,17266.0,1.0
g_mp[immutable_list x ChangeParamProb|Crossover],1.072,0.779,0.51,1.439,0.006,0.004,22851.0,16167.0,1.0
g_mp[dict_unpacking x RandPert|TestDeleteProb],1.072,0.655,0.528,1.465,0.005,0.003,23907.0,16938.0,1.0
g_mp[da x Crossover|TestChangeProb],1.072,0.909,0.547,1.442,0.007,0.005,26155.0,16973.0,1.0
g_mp[python x RandPert|TestInsertionProb],1.072,0.653,0.517,1.43,0.005,0.003,23162.0,16717.0,1.0
g_mp[headers x Crossover|TestInsertProb],1.072,0.813,0.551,1.464,0.006,0.004,25641.0,16923.0,1.0
g_mp[namedtupleutils x RandPert|TestDeleteProb],1.072,0.9,0.536,1.438,0.007,0.005,22047.0,16056.0,1.0
g_mp[validation x Crossover|TestChangeProb],1.072,0.793,0.536,1.444,0.006,0.004,24844.0,15945.0,1.0
g_mp[h_base x Crossover|Pop],1.072,0.709,0.516,1.422,0.005,0.004,24327.0,16787.0,1.0
g_mp[decorators x TestDeleteProb|TestInsertionProb],1.072,0.68,0.532,1.462,0.005,0.004,22776.0,17272.0,1.0
g_mp[s_helpers x TestDeleteProb|TestInsertProb],1.072,0.679,0.524,1.45,0.005,0.004,25231.0,16706.0,1.0
g_mp[packages x TestDeleteProb|TestInsertProb],1.072,0.696,0.532,1.462,0.005,0.004,25855.0,16013.0,1.0
g_mp[validation x StatemInsertProb|TestInsertionProb],1.072,0.995,0.515,1.451,0.007,0.005,25543.0,16401.0,1.0
g_mp[return_from_generator x ChromLen|TestChangeProb],1.072,0.655,0.543,1.471,0.005,0.003,23687.0,16762.0,1.0
g_mp[py_helpers x ChangeParamProb|TestDeleteProb],1.072,1.132,0.503,1.446,0.008,0.006,22655.0,16402.0,1.0
g_mp[python x Pop|TestInsertProb],1.072,0.639,0.535,1.465,0.005,0.003,23469.0,14972.0,1.0
g_mp[signals x Elite|TestInsertionProb],1.072,0.697,0.526,1.449,0.005,0.004,25077.0,16809.0,1.0
g_mp[py_base x Crossover|TourSize],1.072,0.763,0.514,1.426,0.006,0.004,23819.0,16954.0,1.0
g_mp[py_base x ChromLen|Crossover],1.072,0.755,0.528,1.458,0.006,0.004,23049.0,17313.0,1.0
g_mp[pgzero_frontend x Elite|StatemInsertProb],1.072,0.571,0.52,1.448,0.004,0.003,23069.0,15987.0,1.0
g_mp[py_helpers x Crossover|TourSize],1.072,0.639,0.504,1.443,0.005,0.003,23811.0,16594.0,1.0
g_mp[py_helpers x ChromLen|Crossover],1.072,0.695,0.505,1.439,0.005,0.004,23939.0,17553.0,1.0
g_mp[python x ChangeParamProb|TestChangeProb],1.072,0.65,0.523,1.449,0.005,0.004,24813.0,16115.0,1.0
g_mp[da x Elite|Pop],1.072,0.684,0.53,1.472,0.005,0.004,23320.0,14894.0,1.0
g_mp[dict_unpacking x Elite|Pop],1.072,0.859,0.539,1.476,0.006,0.004,23721.0,17275.0,1.0
g_mp[s_helpers x TestDeleteProb|TestInsertionProb],1.072,0.642,0.498,1.43,0.005,0.003,24059.0,16464.0,1.0
g_mp[maybe x Elite|Pop],1.072,0.762,0.516,1.439,0.006,0.004,24496.0,15383.0,1.0
g_mp[maybe x ChromLen|Crossover],1.072,0.95,0.516,1.434,0.007,0.005,24439.0,16981.0,1.0
g_mp[h_base x ChangeParamProb|TestChangeProb],1.072,0.689,0.527,1.444,0.006,0.004,24139.0,17356.0,1.0
g_mp[py_base x ChromLen|RandPert],1.072,0.644,0.499,1.429,0.005,0.003,22987.0,16862.0,1.0
g_mp[pgzero_frontend x TestDeleteProb|TestInsertionProb],1.072,0.741,0.518,1.443,0.006,0.004,24782.0,16712.0,1.0
g_mp[py_base x Elite|TestChangeProb],1.072,0.69,0.533,1.473,0.005,0.004,24439.0,17886.0,1.0
g_mp[config x Elite|TestInsertionProb],1.072,0.892,0.509,1.449,0.007,0.005,25024.0,16748.0,1.0
g_mp[pgzero_frontend x Crossover|TestInsertionProb],1.072,0.72,0.507,1.436,0.005,0.004,25601.0,16727.0,1.0
g_mp[namedtupleutils x Pop|TestChangeProb],1.072,0.695,0.529,1.459,0.005,0.004,24772.0,17490.0,1.0
g_mp[maybe x ChromLen|Elite],1.072,0.599,0.518,1.45,0.005,0.003,24632.0,16726.0,1.0
g_mp[validation x ChromLen|Elite],1.072,0.77,0.505,1.426,0.006,0.004,22878.0,16000.0,1.0
g_mp[pgzero_frontend x Elite|TestInsertProb],1.072,0.706,0.537,1.464,0.005,0.004,23498.0,16140.0,1.0
g_mp[cmd x Elite|TestInsertProb],1.072,1.153,0.514,1.433,0.008,0.006,22827.0,16930.0,1.0
g_mp[validation x Pop|TourSize],1.072,0.81,0.52,1.438,0.006,0.004,24175.0,16020.0,1.0
g_mp[packages x StatemInsertProb|TestInsertionProb],1.072,0.649,0.506,1.451,0.005,0.004,23489.0,17280.0,1.0
g_mp[python x TestChangeProb|TestDeleteProb],1.072,0.84,0.532,1.454,0.006,0.004,26147.0,16765.0,1.0
g_mp[py_base x TestChangeProb|TestInsertProb],1.072,0.655,0.524,1.431,0.005,0.003,22759.0,17078.0,1.0
g_mp[decorators x ChromLen|TestChangeProb],1.072,0.705,0.561,1.487,0.005,0.004,24149.0,16927.0,1.0
g_mp[packages x Pop|StatemInsertProb],1.072,0.784,0.538,1.459,0.006,0.004,24111.0,17065.0,1.0
g_mp[da x StatemInsertProb|TestInsertionProb],1.072,0.729,0.53,1.464,0.006,0.004,24270.0,16758.0,1.0
g_mp[config x ChromLen|Elite],1.072,0.624,0.498,1.444,0.005,0.003,24469.0,15871.0,1.0
g_mp[config x StatemInsertProb|TourSize],1.072,0.823,0.533,1.462,0.006,0.004,22942.0,15307.0,1.0
g_mp[yield_from x Pop|RandPert],1.072,0.839,0.513,1.454,0.006,0.004,25971.0,16590.0,1.0
g_mp[maybe x Elite|TestInsertionProb],1.072,0.634,0.546,1.457,0.005,0.003,25056.0,16445.0,1.0
g_mp[namedtupleutils x ChromLen|Pop],1.072,0.711,0.546,1.481,0.005,0.004,23847.0,16410.0,1.0
g_mp[timer x Pop|TestInsertionProb],1.072,0.788,0.545,1.466,0.007,0.005,23948.0,15409.0,1.0
g_mp[journaling x Elite|TestInsertProb],1.072,0.648,0.523,1.441,0.005,0.003,23560.0,16237.0,1.0
g_mp[py_helpers x ChromLen|StatemInsertProb],1.072,0.718,0.537,1.466,0.005,0.004,22316.0,16771.0,1.0
g_mp[h_base x Elite|TestChangeProb],1.072,0.632,0.504,1.44,0.005,0.003,24948.0,16770.0,1.0
g_mp[cmd x Elite|TestChangeProb],1.073,0.655,0.546,1.489,0.005,0.003,22924.0,17006.0,1.0
g_mp[s_helpers x RandPert|TestInsertionProb],1.073,0.739,0.531,1.45,0.006,0.004,24509.0,17229.0,1.0
g_mp[namedtupleutils x TestChangeProb|TestDeleteProb],1.073,0.731,0.534,1.465,0.006,0.004,24417.0,16017.0,1.0
g_mp[config x Elite|TourSize],1.073,0.699,0.527,1.456,0.005,0.004,24096.0,16215.0,1.0
g_mp[da x Elite|TestChangeProb],1.073,0.916,0.542,1.478,0.007,0.005,23874.0,16120.0,1.0
g_mp[s_helpers x ChromLen|TourSize],1.073,0.87,0.525,1.45,0.006,0.004,21642.0,16707.0,1.0
g_mp[maybe x TestChangeProb|TestDeleteProb],1.073,0.727,0.531,1.446,0.005,0.004,24140.0,17199.0,1.0
g_mp[yield_from x StatemInsertProb|TestChangeProb],1.073,0.609,0.548,1.473,0.005,0.003,21902.0,16153.0,1.0
g_mp[py_base x StatemInsertProb|TestChangeProb],1.073,0.768,0.543,1.468,0.006,0.004,22308.0,17182.0,1.0
g_mp[da x StatemInsertProb|TestChangeProb],1.073,1.018,0.529,1.438,0.007,0.005,21506.0,16670.0,1.0
g_mp[py_base x Elite|TestInsertionProb],1.073,0.788,0.552,1.478,0.006,0.004,24099.0,17080.0,1.0
g_mp[signals x Elite|TourSize],1.073,1.373,0.517,1.441,0.01,0.007,25257.0,16962.0,1.0
g_mp[dict_unpacking x Elite|TestInsertionProb],1.073,0.771,0.54,1.467,0.006,0.004,21775.0,16770.0,1.0
