,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
g_mp[namedtupleutils x RandPert|TourSize],1.065,0.576,0.509,1.419,0.004,0.003,21650.0,17250.0,1.0
g_mp[signals x ChromLen|Crossover],1.065,0.611,0.525,1.456,0.005,0.003,24855.0,16592.0,1.0
g_mp[s_helpers x ChangeParamProb|TestInsertionProb],1.065,0.751,0.515,1.445,0.005,0.004,22943.0,16644.0,1.0
g_mp[timer x ChromLen|Crossover],1.065,0.542,0.509,1.452,0.004,0.003,22971.0,16085.0,1.0
g_mp[positional_validation x RandPert|TestInsertProb],1.066,0.618,0.51,1.437,0.005,0.003,25780.0,17080.0,1.0
g_mp[packages x ChromLen|TestDeleteProb],1.066,0.634,0.548,1.48,0.005,0.003,22923.0,15945.0,1.0
g_mp[headers x Elite|TestDeleteProb],1.066,0.659,0.545,1.474,0.005,0.004,24071.0,15837.0,1.0
g_mp[lazy_import x ChromLen|TestChangeProb],1.066,0.776,0.536,1.455,0.006,0.004,22927.0,16081.0,1.0
g_mp[lazy_import x TestInsertionProb|TourSize],1.066,0.565,0.557,1.489,0.004,0.003,25315.0,16642.0,1.0
g_mp[immutable_list x Pop|TestChangeProb],1.066,0.963,0.515,1.452,0.007,0.005,22581.0,16463.0,1.0
g_mp[da x Crossover|TestInsertProb],1.066,0.587,0.551,1.494,0.004,0.003,23412.0,16054.0,1.0
g_mp[positional_validation x Crossover|Elite],1.066,0.565,0.513,1.443,0.004,0.003,25587.0,16529.0,1.0
g_mp[decorators x Crossover|TestChangeProb],1.066,0.597,0.549,1.49,0.005,0.003,23020.0,16149.0,1.0
g_mp[immutable_list x Elite|TestDeleteProb],1.066,0.6,0.513,1.425,0.005,0.003,24327.0,16717.0,1.0
g_mp[decorators x Pop|TourSize],1.066,0.589,0.509,1.433,0.004,0.003,25312.0,15942.0,1.0
g_mp[maybe x StatemInsertProb|TestDeleteProb],1.066,0.553,0.538,1.455,0.004,0.003,24747.0,15864.0,1.0
g_mp[da x ChromLen|TourSize],1.066,0.681,0.516,1.442,0.005,0.004,23345.0,16786.0,1.0
g_mp[lazy_import x TestChangeProb|TestInsertProb],1.066,0.649,0.512,1.425,0.005,0.003,25368.0,16857.0,1.0
g_mp[packages x Pop|TestInsertionProb],1.066,0.859,0.495,1.421,0.006,0.004,20730.0,16620.0,1.0
g_mp[immutable_list x ChromLen|TourSize],1.066,0.871,0.528,1.446,0.006,0.004,24381.0,16128.0,1.0
g_mp[packages x TestInsertProb|TourSize],1.066,0.626,0.481,1.416,0.005,0.003,22209.0,16893.0,1.0
g_mp[yield_from x TestChangeProb|TourSize],1.066,0.563,0.526,1.464,0.004,0.003,24018.0,17031.0,1.0
g_mp[cmd x ChromLen|Pop],1.066,0.635,0.49,1.432,0.005,0.003,24967.0,15856.0,1.0
g_mp[lazy_import x ChromLen|Elite],1.066,0.657,0.532,1.434,0.005,0.003,22032.0,16007.0,1.0
g_mp[maybe x Pop|RandPert],1.066,0.597,0.55,1.463,0.004,0.003,24149.0,16748.0,1.0
g_mp[headers x Elite|TestChangeProb],1.066,0.651,0.526,1.455,0.005,0.004,23964.0,15794.0,1.0
g_mp[validation x ChromLen|TestInsertProb],1.066,0.787,0.55,1.467,0.006,0.004,24188.0,16974.0,1.0
g_mp[s_helpers x ChromLen|Elite],1.066,0.694,0.536,1.484,0.005,0.004,23537.0,16755.0,1.0
g_mp[py_helpers x ChangeParamProb|Elite],1.066,0.626,0.543,1.448,0.005,0.003,25584.0,16926.0,1.0
g_mp[headers x TestChangeProb|TestInsertProb],1.066,0.581,0.514,1.429,0.004,0.003,24934.0,17135.0,1.0
g_mp[decorators x ChromLen|Elite],1.066,0.688,0.526,1.455,0.005,0.004,24280.0,15397.0,1.0
g_mp[python x ChromLen|TestInsertProb],1.066,0.631,0.524,1.449,0.005,0.004,23181.0,17070.0,1.0
g_mp[headers x TestInsertionProb|TourSize],1.066,0.624,0.529,1.442,0.005,0.003,23918.0,16583.0,1.0
g_mp[validation x RandPert|TestDeleteProb],1.066,0.666,0.558,1.468,0.005,0.004,22504.0,16364.0,1.0
g_mp[maybe x Crossover|StatemInsertProb],1.066,0.58,0.555,1.497,0.004,0.003,24120.0,15944.0,1.0
g_mp[s_helpers x ChangeParamProb|StatemInsertProb],1.066,0.701,0.556,1.489,0.005,0.004,24647.0,16743.0,1.0
g_mp[signals x ChromLen|TestInsertProb],1.066,0.574,0.518,1.442,0.004,0.003,24182.0,17407.0,1.0
g_mp[pgzero_frontend x ChangeParamProb|TestDeleteProb],1.067,0.595,0.533,1.449,0.005,0.004,24638.0,17399.0,1.0
g_mp[headers x Elite|RandPert],1.067,0.59,0.521,1.451,0.004,0.003,23457.0,16060.0,1.0
g_mp[h_base x TestDeleteProb|TourSize],1.067,0.694,0.528,1.468,0.005,0.004,22832.0,16644.0,1.0
g_mp[py_base x Crossover|TestInsertionProb],1.067,0.754,0.503,1.444,0.006,0.004,24147.0,16796.0,1.0
g_mp[cmd x RandPert|TestInsertionProb],1.067,0.695,0.503,1.436,0.005,0.004,23570.0,16412.0,1.0
g_mp[py_helpers x Pop|TourSize],1.067,0.792,0.507,1.425,0.006,0.004,24079.0,16666.0,1.0
g_mp[immutable_list x ChangeParamProb|RandPert],1.067,0.603,0.515,1.444,0.005,0.003,23105.0,16950.0,1.0
g_mp[journaling x Elite|RandPert],1.067,0.55,0.532,1.456,0.004,0.003,24767.0,16533.0,1.0
g_mp[headers x StatemInsertProb|TestInsertProb],1.067,0.694,0.515,1.438,0.005,0.004,23454.0,16659.0,1.0
g_mp[namedtupleutils x TestInsertProb|TestInsertionProb],1.067,0.608,0.546,1.443,0.004,0.003,26331.0,16740.0,1.0
g_mp[positional_validation x StatemInsertProb|TestInsertionProb],1.067,0.567,0.509,1.443,0.004,0.003,23759.0,15975.0,1.0
g_mp[immutable_list x TestChangeProb|TestInsertProb],1.067,0.682,0.539,1.458,0.005,0.004,24161.0,16435.0,1.0
