,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_p[Pop|TestInsertionProb],-0.343,0.017,-0.37,-0.317,0.0,0.0,1996.0,5367.0,1.0
b_p[TestChangeProb|TestInsertionProb],-0.217,0.017,-0.244,-0.191,0.0,0.0,2054.0,5710.0,1.0
b_p[TestInsertProb|TestInsertionProb],-0.21,0.017,-0.237,-0.184,0.0,0.0,2051.0,5765.0,1.0
b_p[ChangeParamProb|TestInsertionProb],-0.206,0.017,-0.233,-0.18,0.0,0.0,2066.0,5175.0,1.0
b_p[ChromLen|TestInsertionProb],-0.203,0.017,-0.231,-0.178,0.0,0.0,2038.0,6141.0,1.0
b_p[RandPert|TestInsertionProb],-0.197,0.017,-0.223,-0.17,0.0,0.0,2044.0,5812.0,1.0
b_p[Crossover|TestInsertionProb],-0.196,0.017,-0.222,-0.169,0.0,0.0,1986.0,5857.0,1.0
b_p[Elite|TestInsertionProb],-0.195,0.017,-0.221,-0.169,0.0,0.0,1978.0,5259.0,1.0
b_p[TestDeleteProb|TestInsertionProb],-0.191,0.017,-0.218,-0.165,0.0,0.0,2001.0,5939.0,1.0
b_p[StatemInsertProb|TestInsertionProb],-0.191,0.016,-0.217,-0.164,0.0,0.0,1878.0,5486.0,1.0
b_p[TestInsertionProb|TourSize],-0.187,0.017,-0.213,-0.16,0.0,0.0,2167.0,5587.0,1.0
b_p[Pop|TestInsertProb],-0.184,0.017,-0.21,-0.157,0.0,0.0,1960.0,5678.0,1.0
b_p[ChromLen|Pop],-0.175,0.017,-0.201,-0.148,0.0,0.0,2036.0,5485.0,1.0
b_p[Pop|StatemInsertProb],-0.175,0.017,-0.202,-0.149,0.0,0.0,1920.0,5588.0,1.0
b_p[Pop|TestDeleteProb],-0.172,0.016,-0.198,-0.145,0.0,0.0,2109.0,5488.0,1.0
b_p[Crossover|Pop],-0.164,0.017,-0.19,-0.138,0.0,0.0,2048.0,4836.0,1.0
b_p[ChangeParamProb|Pop],-0.163,0.017,-0.19,-0.138,0.0,0.0,1940.0,5200.0,1.0
b_p[Elite|Pop],-0.162,0.017,-0.189,-0.136,0.0,0.0,2067.0,4380.0,1.0
b_p[Pop|TestChangeProb],-0.158,0.017,-0.184,-0.131,0.0,0.0,1995.0,5174.0,1.0
b_p[Pop|TourSize],-0.157,0.017,-0.183,-0.13,0.0,0.0,1873.0,5406.0,1.0
b_p[Pop|RandPert],-0.142,0.017,-0.169,-0.116,0.0,0.0,1949.0,5702.0,1.0
b_p[Crossover|TestChangeProb],-0.038,0.016,-0.063,-0.012,0.0,0.0,1942.0,5618.0,1.0
b_p[StatemInsertProb|TestChangeProb],-0.038,0.016,-0.063,-0.011,0.0,0.0,1893.0,4545.0,1.0
b_p[Crossover|TestDeleteProb],-0.035,0.016,-0.061,-0.009,0.0,0.0,1922.0,5444.0,1.0
b_p[StatemInsertProb|TestInsertProb],-0.033,0.016,-0.058,-0.006,0.0,0.0,2024.0,4878.0,1.0
b_p[TestChangeProb|TestInsertProb],-0.032,0.016,-0.058,-0.006,0.0,0.0,1888.0,5133.0,1.0
b_p[RandPert|TestDeleteProb],-0.032,0.016,-0.058,-0.005,0.0,0.0,2082.0,5538.0,1.0
b_p[StatemInsertProb|TestDeleteProb],-0.031,0.016,-0.056,-0.004,0.0,0.0,2015.0,5439.0,1.0
b_p[Elite|StatemInsertProb],-0.029,0.016,-0.055,-0.002,0.0,0.0,2046.0,5253.0,1.0
b_p[TestDeleteProb|TestInsertProb],-0.027,0.016,-0.054,-0.002,0.0,0.0,1813.0,5442.0,1.0
b_p[TestChangeProb|TestDeleteProb],-0.027,0.016,-0.052,0.0,0.0,0.0,1936.0,5041.0,1.0
b_p[Crossover|TestInsertProb],-0.025,0.016,-0.051,0.001,0.0,0.0,1931.0,5417.0,1.0
b_p[ChromLen|TestDeleteProb],-0.024,0.016,-0.05,0.002,0.0,0.0,1886.0,5535.0,1.0
